timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:42.0649581 +0300 EAT m=+502.669540801,-0.13708727,-0.3578538,-0.07731078,-44.349243,27.757042,0.23144951
2022-12-19 14:56:42.1785253 +0300 EAT m=+502.783108001,-0.13779975,-0.35824642,-0.07126567,-45.260002,29.960356,0.2721278
2022-12-19 14:56:42.2618264 +0300 EAT m=+502.866409101,-0.17495653,-0.27996787,-0.17333215,-48.721855,11.626207,-0.73701274
2022-12-19 14:56:42.361704 +0300 EAT m=+502.966286701,-0.31273833,-0.43199226,-0.40065968,-77.507614,-8.20385,-2.138187
2022-12-19 14:56:42.4642536 +0300 EAT m=+503.068836301,-0.39066264,-0.48092365,-0.51812845,-94.95897,-15.865405,-2.9651759
2022-12-19 14:56:42.5653484 +0300 EAT m=+503.169931101,-0.24059199,-0.41830164,-0.2282261,-68.06913,19.214975,-0.84573805
2022-12-19 14:56:42.662213 +0300 EAT m=+503.266795701,-0.22776218,-0.40151536,-0.21906501,-64.12174,17.227982,-0.8047084
2022-12-19 14:56:42.7675395 +0300 EAT m=+503.372122201,-0.24320942,-0.39287138,-0.23597102,-68.254425,17.751196,-0.9797315
2022-12-19 14:56:42.8757478 +0300 EAT m=+503.480330501,-0.4339618,-0.62086093,-0.57119125,-105.944244,-16.25193,-3.0069253
2022-12-19 14:56:42.9699489 +0300 EAT m=+503.574531601,-0.26672786,-0.4553322,-0.24954727,-75.82988,22.412943,-0.93898106
2022-12-19 14:56:43.0802856 +0300 EAT m=+503.684868301,-0.20923038,-0.3122568,-0.22193001,-56.72141,9.233725,-1.0479165
2022-12-19 14:56:43.1829553 +0300 EAT m=+503.787538001,-0.3333137,-0.46214747,-0.4073195,-84.68563,-2.4532409,-2.1397738
2022-12-19 14:56:43.2727399 +0300 EAT m=+503.877322601,-0.34901094,-0.4987233,-0.4232769,-89.01417,-1.5426079,-2.1746423
2022-12-19 14:56:43.3708774 +0300 EAT m=+503.975460101,-0.24510364,-0.3780347,-0.2573691,-66.72206,11.647772,-1.1734866
2022-12-19 14:56:43.4780114 +0300 EAT m=+504.082594101,-0.19167791,-0.2867483,-0.18822475,-53.555016,13.276782,-0.8553891
2022-12-19 14:56:43.5717856 +0300 EAT m=+504.176368301,-0.20882286,-0.42113462,-0.19571634,-59.331345,17.421133,-0.54551524
2022-12-19 14:56:43.6800835 +0300 EAT m=+504.284666201,-0.13430117,-0.3004267,-0.07647456,-43.370346,26.970743,0.072835214
2022-12-19 14:56:43.7956895 +0300 EAT m=+504.400272201,-0.1761221,-0.31576928,-0.14557981,-52.096672,20.926052,-0.44462642
2022-12-19 14:56:43.8796835 +0300 EAT m=+504.484266201,-0.25746498,-0.37090206,-0.31961048,-64.88908,-3.488862,-1.6453774
2022-12-19 14:56:43.9808592 +0300 EAT m=+504.585441901,-0.29522955,-0.4418492,-0.3329351,-77.94762,6.710467,-1.6094595
2022-12-19 14:56:44.0845924 +0300 EAT m=+504.689175101,-0.19815372,-0.3735754,-0.19312628,-55.518166,14.171516,-0.6453433
2022-12-19 14:56:44.2046651 +0300 EAT m=+504.809247801,-0.22139734,-0.27425626,-0.24708281,-58.7275,5.8737793,-1.3588631
2022-12-19 14:56:44.2770454 +0300 EAT m=+504.881628101,-0.13768488,-0.27022243,-0.09530416,-42.679504,22.262148,-0.15240367
2022-12-19 14:56:44.3796526 +0300 EAT m=+504.984235301,-0.3700849,-0.5104458,-0.47827327,-91.28277,-11.031588,-2.5607038
2022-12-19 14:56:44.4850491 +0300 EAT m=+505.089631801,-0.42522392,-0.5646415,-0.5295058,-106.99605,-6.275004,-2.870964
