timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:55:44.0265526 +0300 EAT m=+444.631135301,-0.25777084,-0.39086762,-0.3187506,-65.09696,-3.1020558,-1.5809327
2022-12-19 14:55:44.1207452 +0300 EAT m=+444.725327901,-0.15893917,-0.30413368,-0.14116764,-45.980858,15.75312,-0.41089264
2022-12-19 14:55:44.233572 +0300 EAT m=+444.838154701,-0.33190453,-0.44992125,-0.42436868,-82.34689,-8.434501,-2.2888508
2022-12-19 14:55:44.3321614 +0300 EAT m=+444.936744101,-0.17104173,-0.2823022,-0.16890937,-47.689102,11.537734,-0.6912898
2022-12-19 14:55:44.4240127 +0300 EAT m=+445.028595401,-0.15253587,-0.2995763,-0.13593271,-44.080654,14.972073,-0.37456572
2022-12-19 14:55:44.526591 +0300 EAT m=+445.131173701,-0.31136936,-0.44559157,-0.39893425,-77.165344,-8.18087,-2.083028
2022-12-19 14:55:44.6238255 +0300 EAT m=+445.228408201,-0.33458564,-0.4580207,-0.43625155,-82.11995,-11.203626,-2.3515666
2022-12-19 14:55:44.7265904 +0300 EAT m=+445.331173101,-0.23467623,-0.4062651,-0.25471437,-63.00829,8.492492,-1.0483865
2022-12-19 14:55:44.834199 +0300 EAT m=+445.438781701,-0.115778476,-0.3391856,-0.04705947,-39.379646,29.255953,0.4291726
2022-12-19 14:55:44.9269774 +0300 EAT m=+445.531560101,-0.19141793,-0.41110194,-0.1653851,-55.865433,20.439434,-0.33030665
2022-12-19 14:55:45.0401769 +0300 EAT m=+445.644759601,-0.19124128,-0.39846945,-0.17138407,-55.164776,18.459253,-0.4082066
2022-12-19 14:55:45.1304101 +0300 EAT m=+445.734992801,-0.08893202,-0.28165856,-0.002631632,-33.78491,33.169434,0.62024236
2022-12-19 14:55:45.2316634 +0300 EAT m=+445.836246101,-0.12790169,-0.3450643,-0.054201365,-43.26946,31.61968,0.37105986
2022-12-19 14:55:45.333896 +0300 EAT m=+445.938478701,-0.21719478,-0.43339878,-0.21887921,-60.093838,13.229746,-0.68523604
2022-12-19 14:55:45.4342049 +0300 EAT m=+446.038787601,-0.06580098,-0.24116448,0.019748636,-27.286821,31.462034,0.70370775
2022-12-19 14:55:45.5523412 +0300 EAT m=+446.156923901,-0.17992167,-0.3940258,-0.13905476,-54.24049,24.446194,-0.17637695
2022-12-19 14:55:45.6805671 +0300 EAT m=+446.285149801,-0.11731907,-0.33867368,-0.030218989,-41.746696,35.224113,0.53871685
2022-12-19 14:55:45.7415403 +0300 EAT m=+446.346123001,-0.08273801,-0.25680792,0.0072048083,-32.450413,33.94306,0.6271353
2022-12-19 14:55:45.8456324 +0300 EAT m=+446.450215101,-0.22010688,-0.39924902,-0.22305526,-60.76858,13.020716,-0.8215108
